#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
   5 ADC                           16                0
   8 ADD                         7391                0
  11 ADDSD                          4                0
  12 ADDSS                         14                0
  15 ADD_LOCK                      14                0
  23 AND                         2941                0
  26 ANDNPS                         1                0
  27 ANDPD                         10                0
  28 ANDPS                          3                0
  29 AND_LOCK                      11                0
  55 BSF                            4                0
  56 BSR                            8                0
  57 BSWAP                         64                0
  58 BT                            34                0
  64 BTS_LOCK                       1                0
  67 CALL_NEAR                  11445                0
  69 CDQ                           15                0
  70 CDQE                         322                0
  73 CLD                            2                0
 100 CMP                        13427                0
 109 CMPXCHG                      235                0
 114 CMPXCHG_LOCK                 433                0
 117 CPUID                          8                0
 118 CQO                            6                0
 132 CVTSI2SD                       4                0
 133 CVTSI2SS                      23                0
 134 CVTSS2SD                       1                0
 141 CVTTSS2SI                      9                0
 143 CWDE                           1                0
 146 DEC                          308                0
 147 DEC_LOCK                     349                0
 148 DIV                           76                0
 151 DIVSD                          4                0
 152 DIVSS                          3                0
 167 FABS                           6                0
 168 FADD                           7                0
 172 FCHS                           6                0
 189 FDIV                           1                0
 190 FDIVP                          4                0
 192 FDIVRP                         1                0
 202 FILD                           8                0
 206 FISTP                          2                0
 210 FLD                           86                0
 211 FLD1                           5                0
 212 FLDCW                          4                0
 213 FLDENV                         3                0
 219 FLDZ                           8                0
 220 FMUL                          11                0
 221 FMULP                          3                0
 226 FNSTCW                         4                0
 227 FNSTENV                        2                0
 228 FNSTSW                         6                0
 241 FSTP                         119                0
 244 FSUBP                          1                0
 245 FSUBR                          1                0
 246 FSUBRP                         2                0
 249 FUCOMI                        15                0
 250 FUCOMIP                       16                0
 254 FXAM                           6                0
 255 FXCH                          28                0
 269 HLT                            5                0
 272 IDIV                          20                0
 273 IMUL                         296                0
 275 INC                           15                0
 278 INC_LOCK                       7                0
 297 JB                           443                0
 298 JBE                          954                0
 301 JL                           136                0
 302 JLE                          526                0
 303 JMP                        10524                0
 305 JNB                          790                0
 306 JNBE                        1580                0
 307 JNL                           73                0
 308 JNLE                         344                0
 309 JNO                            4                0
 311 JNS                          185                0
 312 JNZ                         8432                0
 313 JO                            34                0
 314 JP                            13                0
 316 JS                           618                0
 317 JZ                         11836                0
 372 LDMXCSR                        2                0
 374 LEA                        13230                0
 375 LEAVE                          4                0
 377 LFENCE                        10                0
 392 LSL                            1                0
 404 MFENCE                        12                0
 411 MOV                        72466                0
 412 MOVAPD                        22                0
 413 MOVAPS                       638                0
 415 MOVD                          71                0
 420 MOVDQA                       359                0
 421 MOVDQU                       318                0
 424 MOVHPS                        42                0
 428 MOVMSKPD                       5                0
 429 MOVMSKPS                       3                0
 430 MOVNTDQ                        8                0
 438 MOVQ                          67                0
 440 MOVSB                          2                0
 442 MOVSD_XMM                     59                0
 446 MOVSS                         23                0
 448 MOVSX                        509                0
 449 MOVSXD                      1120                0
 451 MOVUPS                       549                0
 452 MOVZX                       3028                0
 456 MUL                          138                0
 459 MULSD                         11                0
 460 MULSS                         11                0
 464 NEG                          645                0
 466 NOP                         8560                0
 475 NOT                          130                0
 477 OR                          1519                0
 478 ORPD                           1                0
 479 ORPS                           1                0
 480 OR_LOCK                       13                0
 492 PADDB                          1                0
 493 PADDD                         18                0
 494 PADDQ                         13                0
 501 PAND                          11                0
 503 PAUSE                          9                0
 510 PCMPEQB                        1                0
 511 PCMPEQD                       90                0
 517 PCMPGTD                        1                0
 528 PEXTRW                         3                0
 561 PINSRW                         1                0
 576 PMOVMSKB                      45                0
 597 POP                         6580                0
 604 POR                            8                0
 606 PREFETCHT0                     4                0
 615 PSHUFD                         6                0
 624 PSLLQ                          2                0
 629 PSRLDQ                         1                0
 632 PSUBB                         41                0
 634 PSUBQ                          1                0
 637 PSUBUSB                        1                0
 643 PUNPCKHBW                      1                0
 644 PUNPCKHDQ                      5                0
 646 PUNPCKHWD                      2                0
 647 PUNPCKLBW                      3                0
 648 PUNPCKLDQ                      5                0
 649 PUNPCKLQDQ                     7                0
 650 PUNPCKLWD                      4                0
 651 PUSH                        6410                0
