              Procedure           Image            Address        Calls Instructions
                  _fini libpthread.so.0       7f771be12274            1            3
           elision_init libpthread.so.0       7f771be11ed0            1           36
       __libc_sigaction libpthread.so.0       7f771be10990            2          102
_pthread_cleanup_pop_restore libpthread.so.0       7f771be0edd0            8           72
_pthread_cleanup_push_defer libpthread.so.0       7f771be0ed70            8           96
   _pthread_cleanup_pop libpthread.so.0       7f771be0ed40            1            6
  _pthread_cleanup_push libpthread.so.0       7f771be0ed20            1            6
           pthread_once libpthread.so.0       7f771be0d9b0           12           59
    __pthread_once_slow libpthread.so.0       7f771be0d850            1           47
__pthread_rwlock_unlock libpthread.so.0       7f771be0b260            3          126
__pthread_rwlock_wrlock libpthread.so.0       7f771be0a880            3          155
 __pthread_mutex_unlock libpthread.so.0       7f771be09810            2           58
     pthread_mutex_lock libpthread.so.0       7f771be07fd0            2           70
__pthread_initialize_minimal libpthread.so.0       7f771be03e80            1          156
            frame_dummy libpthread.so.0       7f771be03c80            1            4
  __do_global_dtors_aux libpthread.so.0       7f771be03c40            1           12
     register_tm_clones libpthread.so.0       7f771be03bf0            1           13
   deregister_tm_clones libpthread.so.0       7f771be03bb0            1            8
               .plt.got libpthread.so.0       7f771be03ba0            1            1
_dl_get_tls_static_info@plt libpthread.so.0       7f771be03b00            1            3
  __tunable_get_val@plt libpthread.so.0       7f771be03ae0            5            7
__libc_pthread_init@plt libpthread.so.0       7f771be03a00            1            3
        __getrlimit@plt libpthread.so.0       7f771be036d0            1            3
                   .plt libpthread.so.0       7f771be03690            4            8
                  _init libpthread.so.0       7f771be03678            1            4
                  .fini      libdl.so.2       7f771c02dbf0            1            3
                dlmopen      libdl.so.2       7f771c02db40            0            3
                  .text      libdl.so.2       7f771c02ce50            1           39
               .plt.got      libdl.so.2       7f771c02ce20            0            1
                  _init      libdl.so.2       7f771c02cd20            1            6
                  _fini    libpcre.so.3       7f771c2824d0            1            3
                  .text    libpcre.so.3       7f771c231520            0           37
               .plt.got    libpcre.so.3       7f771c231510            1            1
                  _init    libpcre.so.3       7f771c2313b8            1            6
        _dl_catch_error       libc.so.6       7f771c609250            0           74
               _dl_addr       libc.so.6       7f771c607ec0            1        59300
      __register_atfork       libc.so.6       7f771c5d26b0            1           51
