#
#num reg  count-read  count-written
#
  3 rdi                   53765       28207
  4 rsi                   39478       24022
  5 rbp                   32948       14266
  6 rsp                  175091       77577
  7 rbx                   73626       31507
  8 rdx                   59683       29006
  9 rcx                   63913       34896
 10 rax                  124841       70294
 11 r8                    15413       10914
 12 r9                    16014       11553
 13 r10                   11529        6734
 14 r11                    7776        3207
 15 r12                   27118       12423
 16 r13                   20800       10041
 17 r14                   24637        7605
 18 r15                   17377        9576
# eof
